,CD8,FE2,CE3,CE6,CF1,FF3,FF4,CF5,FG3,CH1,FH2,CH3,CI2,CI3,CJ2,CJ3,FJ5,FJ6,CP1,FP3,FP4,CT2,CT3,FT4,FT5,FT6
TRINITY_DN10193_c0_g1,8,10,1,3,10,4,4,13,6,6,5,5,12,5,4,3,7,2,6,5,6,4,6,5,6,8
TRINITY_DN10194_c0_g1,1,3,1,1,0,1,0,1,0,1,1,2,1,0,0,1,0,1,3,1,2,0,0,1,2,1
TRINITY_DN10196_c0_g1,4,1,3,1,0,6,2,2,2,5,6,9,4,0,2,1,1,1,2,6,7,1,2,2,8,3
TRINITY_DN10197_c0_g1,7,0,6,2,4,0,0,1,1,5,1,1,12,8,5,4,2,1,3,0,0,0,4,3,1,3
TRINITY_DN10198_c0_g1,12,6,12,5,3,2,2,9,3,1,2,4,12,8,7,7,3,0,7,0,0,1,2,0,3,1
TRINITY_DN10199_c0_g1,9,5,6,1,7,2,4,3,1,8,2,8,9,1,3,3,3,2,4,5,3,14,0,0,0,0
TRINITY_DN1019_c0_g1,5,74,15,18,7,11,13,2,42,24,39,29,21,19,13,10,47,23,28,39,52,7,13,20,34,24
TRINITY_DN101_c0_g1,1783,1223,1135,1237,1757,603,895,1463,359,795,497,1230,1901,2037,589,918,751,286,1155,573,731,747,882,453,876,617
TRINITY_DN10200_c0_g1,4,31,5,5,4,30,23,5,24,4,22,6,6,7,5,4,40,8,6,22,48,4,8,12,20,18
TRINITY_DN10201_c0_g1,6,8,1,2,4,12,9,5,8,5,2,2,14,4,3,5,1,6,1,6,1,2,2,8,12,6
TRINITY_DN10202_c0_g1,12,20,9,2,2,2,3,2,2,2,6,3,5,9,4,3,0,1,4,4,13,2,1,5,11,3
TRINITY_DN10203_c0_g1,19,0,1,3,9,0,0,9,0,3,0,6,2,5,4,1,2,0,2,1,0,3,2,2,1,0
TRINITY_DN10204_c0_g1,0,8,0,0,0,3,3,1,1,1,0,0,1,0,1,0,2,2,2,5,3,3,1,4,1,1
TRINITY_DN10205_c0_g1,18,14,13,5,8,7,8,8,5,5,1,6,4,16,1,8,15,4,4,13,8,0,4,9,14,16
TRINITY_DN10206_c0_g1,4,6,6,9,12,8,21,2,5,6,16,10,5,8,4,3,3,13,5,13,12,3,0,7,6,8
TRINITY_DN10207_c0_g1,2,3,3,1,2,4,6,5,3,1,2,3,5,2,1,4,5,3,2,4,3,3,10,8,21,16
TRINITY_DN10208_c0_g1,0,13,0,27,7,6,0,2,0,0,0,0,0,0,0,1,2,1,2,6,0,0,0,0,0,0
TRINITY_DN10209_c0_g1,3,8,2,1,4,1,2,1,2,2,0,2,4,5,2,2,3,3,7,5,5,1,1,4,3,4
TRINITY_DN10210_c0_g1,2,2,3,0,0,0,2,5,3,2,0,2,4,8,2,1,2,2,6,5,3,3,3,2,6,3
TRINITY_DN10211_c0_g1,0,1,2,0,1,1,1,3,4,1,1,2,2,4,0,1,2,2,1,3,2,0,0,1,3,1
TRINITY_DN10212_c0_g1,12,9,15,9,1,1,0,3,2,7,2,8,16,13,9,6,5,10,2,5,5,3,8,4,5,6
TRINITY_DN10213_c0_g1,0,3,1,0,1,0,2,1,1,2,2,2,2,1,0,0,1,4,0,1,0,1,1,0,2,2
TRINITY_DN10214_c0_g1,63,18,39,43,54,8,11,70,14,37,6,52,44,76,33,68,34,6,75,11,11,28,12,11,26,12
TRINITY_DN10215_c0_g1,12,4,5,6,9,1,3,16,4,10,4,3,8,1,6,6,2,4,2,6,7,3,5,0,3,7
TRINITY_DN10216_c0_g1,2,0,0,0,9,10,8,11,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0
TRINITY_DN10217_c0_g1,5,1,5,0,1,2,0,3,2,3,0,5,7,1,4,2,2,1,0,1,5,2,0,4,2,2
TRINITY_DN10218_c0_g1,1,0,1,0,0,0,1,4,2,3,3,3,2,9,0,3,1,0,4,0,1,0,0,1,1,0
TRINITY_DN10219_c0_g1,0,0,0,0,0,0,0,0,0,4,10,6,0,7,7,9,25,18,1,16,24,7,0,0,0,0
TRINITY_DN10220_c0_g1,9,9,8,1,2,2,6,7,5,0,5,6,6,3,0,6,5,2,7,6,6,7,1,4,2,3
TRINITY_DN10221_c0_g1,30,28,18,5,37,9,8,36,13,18,27,25,30,30,15,18,15,15,21,10,15,15,12,19,32,14
TRINITY_DN10222_c0_g1,0,0,0,1,1,1,0,2,2,4,0,2,0,0,0,1,0,1,0,0,0,0,11,8,7,8
TRINITY_DN10223_c0_g1,13,19,17,8,19,5,8,12,9,9,11,14,16,15,12,15,11,2,14,6,12,12,8,7,8,10
TRINITY_DN10224_c0_g1,6,9,4,5,4,7,3,11,2,6,11,3,10,7,2,6,9,13,6,11,18,1,5,8,4,13
TRINITY_DN10225_c0_g1,8,11,4,3,8,10,7,11,12,6,5,8,7,7,3,4,7,2,5,11,17,5,2,3,8,5
TRINITY_DN10227_c0_g1,11,16,1,6,4,17,18,5,16,5,8,3,11,4,5,2,18,8,5,6,12,0,3,5,11,13
TRINITY_DN10228_c0_g1,3,4,6,0,10,4,2,3,4,5,2,6,7,4,2,3,8,2,4,6,6,1,6,4,2,5
TRINITY_DN10229_c0_g1,1,5,0,3,1,1,6,2,3,0,1,1,1,3,1,4,6,4,1,2,1,1,2,5,13,4
TRINITY_DN1022_c0_g1,28,46,28,25,23,26,21,28,19,27,15,21,31,29,20,24,28,17,22,21,18,19,25,32,30,35
TRINITY_DN10230_c0_g1,1,2,0,0,0,0,3,1,1,0,3,6,0,0,0,1,1,2,0,0,2,3,3,5,13,4
TRINITY_DN10231_c0_g1,0,1,0,23,2,0,0,15,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,0
TRINITY_DN10232_c0_g1,4,3,0,1,4,3,4,10,3,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,3,5
TRINITY_DN10233_c0_g1,4,6,1,1,1,0,3,0,5,6,2,5,4,18,3,5,7,2,0,1,2,6,1,0,1,0
TRINITY_DN10234_c0_g1,18,0,3,7,10,1,0,11,1,3,0,7,16,10,7,7,6,0,8,3,3,5,2,0,5,3
TRINITY_DN10235_c0_g1,6,2,2,0,1,4,2,6,2,0,1,9,4,3,1,5,16,1,4,7,7,3,0,2,8,3
TRINITY_DN10236_c0_g1,14,4,5,7,2,2,0,7,2,0,0,8,7,9,3,3,2,1,2,2,0,2,3,2,0,1
TRINITY_DN10237_c0_g1,15,10,1,5,3,3,2,4,8,4,6,9,8,8,1,5,8,4,3,7,15,7,9,4,13,5
TRINITY_DN10238_c0_g1,28,66,34,14,32,46,45,35,30,13,51,46,51,37,20,14,58,21,32,45,56,15,12,13,53,34
TRINITY_DN10239_c0_g1,7,0,2,2,3,1,0,6,4,0,0,1,8,4,2,2,1,1,10,3,2,2,2,0,0,0
TRINITY_DN1023_c0_g1,11,78,21,21,31,122,117,35,13,14,40,13,20,24,12,13,61,15,10,63,75,15,16,33,60,53
TRINITY_DN10240_c0_g1,3,2,2,5,4,7,4,2,6,3,4,4,1,1,3,3,1,2,3,2,5,5,3,2,4,1
TRINITY_DN10241_c0_g1,4,11,3,3,8,2,7,1,8,2,6,4,4,5,0,1,4,5,1,1,9,4,0,4,5,2
TRINITY_DN10242_c0_g1,4,0,7,4,1,2,1,4,3,0,1,1,5,12,6,2,1,0,3,1,0,4,5,7,3,4
TRINITY_DN10243_c0_g1,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0
TRINITY_DN10244_c0_g1,0,0,1,0,2,0,0,1,0,1,0,2,0,1,1,2,0,1,4,0,0,2,2,0,0,1
TRINITY_DN10245_c0_g1,1,9,6,6,3,6,4,3,7,1,3,1,10,21,10,5,3,3,1,11,7,3,0,0,0,1
TRINITY_DN10246_c0_g1,2,8,3,1,2,6,9,4,4,0,6,3,0,5,0,3,5,3,0,8,10,0,0,1,1,0
TRINITY_DN10247_c0_g1,5,0,0,2,0,0,2,1,0,0,0,1,0,4,0,1,0,0,3,0,0,2,1,0,1,0
TRINITY_DN10248_c0_g1,0,28,0,165,23,4,0,25,0,0,0,0,0,0,0,7,1,9,12,10,0,0,0,0,0,0
TRINITY_DN10249_c0_g1,6,7,0,1,5,2,2,6,4,2,4,5,3,7,1,5,4,1,2,4,2,1,5,3,2,3
TRINITY_DN1024_c0_g1,12,11,12,7,20,8,13,12,1,4,9,18,6,15,6,5,8,14,6,6,8,6,9,7,15,11
TRINITY_DN10250_c0_g1,10,11,3,7,9,15,16,10,4,5,7,9,5,9,3,7,9,6,2,11,11,11,10,8,12,14
TRINITY_DN10251_c0_g1,12,15,1,3,12,3,3,6,0,3,5,5,1,11,2,2,12,6,4,11,6,0,10,3,5,4
TRINITY_DN10252_c0_g1,4,0,1,2,2,2,4,0,2,1,0,5,3,0,0,1,1,1,1,0,1,3,0,2,0,1
TRINITY_DN10253_c0_g1,27,36,26,13,16,11,12,19,17,11,17,13,29,16,7,9,13,8,8,15,24,11,8,15,31,19
TRINITY_DN10254_c0_g1,3,14,5,5,2,10,20,3,8,2,6,5,5,2,0,0,2,3,1,12,12,2,1,6,9,4
TRINITY_DN10255_c0_g1,1,11,2,2,2,7,4,0,3,3,4,4,2,2,3,2,4,6,2,5,3,4,4,7,10,4
TRINITY_DN10256_c0_g1,6,13,1,3,3,13,13,3,6,4,4,3,4,2,1,2,9,5,2,8,13,1,2,2,7,9
TRINITY_DN10257_c0_g1,10,33,7,7,10,8,15,11,0,2,3,2,6,4,2,4,5,3,0,3,2,4,1,2,2,2
TRINITY_DN10258_c0_g1,0,4,0,2,0,0,0,2,1,0,0,0,12,11,0,2,2,0,0,0,0,0,3,0,0,1
TRINITY_DN10259_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,12,2,15,6
TRINITY_DN1025_c0_g1,9,8,3,6,14,4,3,11,2,7,6,3,18,3,3,6,1,0,24,2,14,4,5,0,6,0
TRINITY_DN10260_c0_g1,2,0,1,0,7,0,1,3,0,1,0,0,0,3,2,2,0,0,0,0,0,1,0,3,1,1
TRINITY_DN10262_c0_g1,0,1,2,0,2,5,1,4,0,0,1,4,1,1,2,0,1,0,2,6,2,1,1,1,1,2
TRINITY_DN10263_c0_g1,8,11,14,6,10,4,3,15,8,4,3,8,9,20,6,2,2,3,8,5,3,9,8,6,6,9
TRINITY_DN10264_c0_g1,1,5,4,4,3,1,0,3,0,6,0,4,4,4,0,1,1,1,1,1,1,8,2,0,0,2
TRINITY_DN10265_c0_g1,2,11,2,1,2,2,4,1,1,2,1,4,1,4,3,1,2,0,1,2,1,2,1,1,2,3
TRINITY_DN10266_c0_g1,7,0,1,0,1,0,0,0,0,6,0,8,0,0,9,7,0,0,2,0,0,2,3,0,0,0
TRINITY_DN10267_c0_g1,7,3,2,7,3,5,8,9,3,2,1,1,6,8,0,2,6,3,5,18,17,3,4,1,4,1
TRINITY_DN10268_c0_g1,0,1,0,0,3,0,0,3,6,3,4,6,1,0,1,2,0,1,0,0,0,5,3,3,5,2
TRINITY_DN10269_c0_g1,0,4,1,1,2,2,1,0,0,1,1,0,0,0,1,1,1,0,0,5,1,0,1,1,1,1
TRINITY_DN1026_c0_g1,31,14,20,4,40,20,21,45,6,15,17,19,74,15,10,22,28,9,397,87,501,34,33,22,53,43
TRINITY_DN10270_c0_g1,2,3,1,0,0,0,1,0,2,0,1,0,1,2,1,2,3,1,0,6,7,1,0,0,0,2
TRINITY_DN10271_c0_g1,1,2,3,2,1,1,3,1,3,0,1,2,1,3,6,2,2,4,1,1,0,1,0,5,3,2
TRINITY_DN10272_c0_g1,8,10,10,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10273_c0_g1,4,0,2,3,0,0,0,2,0,2,0,2,1,2,0,1,1,0,5,2,0,2,0,1,0,0
TRINITY_DN10274_c0_g1,9,8,0,3,4,6,7,8,5,3,11,7,9,9,3,3,12,3,33,10,28,4,4,0,5,3
TRINITY_DN10275_c0_g1,15,25,10,8,9,26,14,9,28,11,13,14,12,15,12,8,27,9,16,20,20,16,7,9,16,13
TRINITY_DN10276_c0_g1,0,0,1,1,1,0,0,3,0,1,0,1,1,0,3,2,2,0,0,1,2,0,0,0,1,2
TRINITY_DN10277_c0_g1,0,2,0,2,0,0,0,0,0,0,0,0,4,1,0,2,2,0,0,0,0,0,0,0,0,2
TRINITY_DN10278_c0_g1,16,3,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10279_c0_g1,4,2,2,1,3,1,2,25,8,3,0,0,7,6,2,6,7,15,0,2,0,3,17,0,10,4
TRINITY_DN1027_c0_g1,27,11,19,12,19,8,16,22,4,13,5,13,29,24,9,11,11,9,18,18,27,13,9,4,8,8
TRINITY_DN10280_c0_g1,16,17,9,6,13,9,13,10,11,3,8,15,14,9,8,8,17,6,15,12,10,4,7,6,12,9
TRINITY_DN10281_c0_g1,2,12,1,2,2,2,2,7,14,0,7,1,1,6,0,1,2,4,4,4,7,1,1,2,7,4
TRINITY_DN10282_c0_g1,7,3,20,14,17,0,6,16,3,31,5,52,34,51,11,13,9,9,11,9,5,21,15,9,10,14
TRINITY_DN10283_c0_g1,20,56,8,6,15,30,41,25,49,8,26,20,21,22,17,15,67,53,14,34,24,15,5,31,48,34
TRINITY_DN10284_c0_g1,3,3,3,1,3,4,2,0,4,3,6,2,5,7,1,1,1,0,3,3,5,3,6,0,3,3
TRINITY_DN10285_c0_g1,4,11,4,3,5,9,7,2,12,4,16,3,3,3,1,3,20,13,0,14,9,2,3,7,10,5
TRINITY_DN10286_c0_g1,0,5,3,2,2,10,4,3,9,0,5,3,3,1,0,1,17,5,1,16,13,0,0,3,11,3
TRINITY_DN10287_c0_g1,0,0,2,5,3,0,0,2,1,1,0,1,0,4,0,0,1,0,1,1,0,1,0,0,1,1
TRINITY_DN10288_c0_g1,0,3,0,16,4,4,0,4,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0
TRINITY_DN10289_c0_g1,1,7,5,1,0,2,3,1,1,1,3,3,1,3,2,1,5,2,4,6,0,4,3,2,0,1
TRINITY_DN1028_c0_g1,90,72,54,60,122,52,60,79,61,58,35,69,96,94,33,51,84,41,36,63,65,55,46,70,66,80
TRINITY_DN10290_c0_g1,7,34,7,7,8,19,27,13,23,1,7,2,4,5,4,6,29,21,14,57,48,5,5,10,20,8
TRINITY_DN10291_c0_g1,1,0,0,1,1,1,0,3,1,0,0,1,0,2,0,0,1,2,0,1,1,0,2,3,3,3
TRINITY_DN10292_c0_g1,0,0,0,2,0,0,0,0,1,0,0,0,2,3,0,1,1,0,0,0,0,0,2,0,0,1
TRINITY_DN10293_c0_g1,2,3,9,10,15,1,5,7,1,4,1,8,15,43,6,9,3,0,4,9,12,6,9,4,8,6
TRINITY_DN10294_c0_g1,8,10,10,4,15,10,8,10,2,2,6,3,12,12,1,0,1,0,5,3,3,2,8,2,6,1
TRINITY_DN10295_c0_g1,3,1,8,3,7,0,0,6,3,5,0,2,13,9,1,6,1,0,4,0,0,7,8,0,0,0
TRINITY_DN10296_c0_g1,3,1,1,0,2,0,4,2,4,0,5,2,1,1,0,1,5,0,0,2,2,0,2,1,5,5
TRINITY_DN10297_c0_g1,2,3,0,3,0,2,1,4,1,2,0,4,2,1,0,0,1,1,1,4,4,2,2,2,8,0
TRINITY_DN10298_c0_g1,4,1,5,2,5,3,0,4,2,5,3,2,7,2,1,4,3,8,6,6,6,6,1,9,5,7
TRINITY_DN10299_c0_g1,7,7,1,1,3,3,4,1,0,3,4,6,3,6,2,3,5,1,1,3,6,3,4,1,7,6
TRINITY_DN1029_c0_g1,18,60,25,13,9,8,5,13,28,8,8,10,32,27,2,2,5,3,26,18,32,13,12,20,28,21
TRINITY_DN102_c0_g1,17,54,24,30,24,36,17,47,39,34,41,48,58,36,7,20,22,3,14,26,19,8,23,21,54,20
TRINITY_DN10300_c0_g1,17,33,13,8,10,28,33,9,24,8,30,6,9,25,7,7,23,11,9,25,29,12,9,13,27,15
TRINITY_DN10302_c0_g1,2,1,5,6,6,0,0,3,1,0,0,0,7,4,2,3,0,1,10,2,1,1,2,0,3,1
TRINITY_DN10303_c0_g1,14,14,13,11,22,23,11,16,15,21,21,9,13,16,12,12,14,10,21,23,25,9,10,11,10,10
TRINITY_DN10304_c0_g1,20,2,11,8,12,6,2,19,3,21,1,26,11,72,5,6,0,1,9,0,0,4,22,1,5,3
TRINITY_DN10305_c0_g1,0,2,0,20,9,4,0,18,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0
TRINITY_DN10306_c0_g1,4,1,4,2,5,1,0,6,3,8,4,7,6,4,7,3,3,1,6,1,5,6,4,3,4,1
TRINITY_DN10307_c0_g1,3,3,4,3,0,0,0,1,4,4,2,5,0,0,0,0,0,0,2,4,1,3,1,1,3,0
TRINITY_DN10308_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0
TRINITY_DN10309_c0_g1,0,4,3,4,4,4,1,4,4,4,8,9,9,2,3,3,4,2,3,4,4,3,5,5,5,10
TRINITY_DN10310_c0_g1,6,8,9,7,7,10,16,5,9,8,5,10,10,4,3,4,8,3,1,7,8,4,2,2,9,4
TRINITY_DN10311_c0_g1,4,5,3,0,1,4,1,5,1,0,9,3,13,5,1,2,4,1,4,2,5,4,0,4,5,1
TRINITY_DN10312_c0_g1,2,0,1,0,1,0,0,1,0,2,0,1,0,1,1,0,1,1,4,2,2,0,1,0,0,1
TRINITY_DN10313_c0_g1,0,13,0,38,15,5,0,7,0,0,0,0,0,0,0,0,2,4,1,12,1,10,96,0,0,10
TRINITY_DN10314_c0_g1,3,4,2,0,1,0,2,1,3,2,1,2,1,3,3,2,1,2,1,1,0,1,0,0,1,0
TRINITY_DN10315_c0_g1,1,2,1,2,1,2,0,6,4,1,2,1,4,0,1,2,5,7,3,3,4,1,1,1,3,3
TRINITY_DN10316_c0_g1,7,7,4,4,2,3,8,0,9,3,3,3,10,1,2,3,6,4,3,5,10,5,2,7,6,11
TRINITY_DN10317_c0_g1,4,3,2,0,0,1,1,0,3,0,0,2,0,1,0,0,2,0,1,2,2,0,1,3,1,2
TRINITY_DN10318_c0_g1,3,7,2,0,0,1,1,1,5,1,3,5,1,3,1,1,3,0,1,3,2,1,1,6,7,10
TRINITY_DN10319_c0_g1,13,1,9,5,3,0,0,2,0,7,0,14,3,13,5,5,2,0,1,0,0,7,1,1,0,1
TRINITY_DN1031_c0_g1,40,37,30,26,60,32,36,53,18,20,27,27,38,38,29,25,50,22,40,42,48,24,21,12,23,17
TRINITY_DN10320_c0_g1,6,2,1,0,1,1,1,3,2,1,1,4,6,3,4,2,8,2,4,4,5,3,0,1,8,4
TRINITY_DN10321_c0_g1,8,29,6,5,9,18,18,3,13,3,19,4,5,5,6,8,22,5,7,20,23,4,3,5,18,11
TRINITY_DN10322_c0_g1,28,36,3,5,9,10,19,24,22,8,22,14,14,11,10,7,31,9,14,47,38,7,9,26,26,20
TRINITY_DN10323_c0_g1,3,0,4,0,5,0,0,2,0,2,0,4,5,10,2,0,0,0,1,0,0,2,4,0,0,0
TRINITY_DN10324_c0_g1,5,2,0,1,6,1,5,3,1,5,0,3,18,13,1,3,2,2,0,4,2,2,2,1,7,1
TRINITY_DN10325_c0_g1,2,2,0,0,2,7,3,3,4,0,1,0,0,3,2,2,6,3,2,13,8,0,0,2,3,1
TRINITY_DN10326_c0_g1,1,1,1,2,1,0,1,0,0,0,1,4,1,2,0,1,1,0,1,2,3,1,0,5,4,4
TRINITY_DN10327_c0_g1,0,0,0,1,4,0,0,1,0,0,0,0,9,0,0,1,1,0,0,1,0,0,0,0,5,0
TRINITY_DN10328_c0_g1,0,9,1,0,0,3,2,2,2,2,2,0,1,3,1,4,2,2,2,7,6,1,2,3,3,7
TRINITY_DN10329_c0_g1,3,4,2,3,7,3,2,6,6,2,3,0,4,5,1,6,2,4,2,0,2,0,3,3,3,3
TRINITY_DN10330_c0_g1,6,23,8,1,9,11,35,4,2,5,2,4,7,3,1,1,6,9,5,6,16,3,3,9,15,17
TRINITY_DN10331_c0_g1,6,2,5,2,5,0,5,8,1,7,3,11,9,22,4,3,1,0,4,1,4,3,2,1,8,3
TRINITY_DN10332_c0_g1,3,1,0,0,4,0,0,8,1,1,0,1,0,3,0,0,0,0,3,0,0,1,1,0,0,0
TRINITY_DN10333_c0_g1,7,4,3,2,4,3,1,7,3,1,3,4,2,2,4,2,2,2,1,2,4,2,5,0,0,1
TRINITY_DN10334_c0_g1,2,6,2,1,10,2,3,8,7,4,2,5,2,4,2,5,7,4,17,10,13,3,5,4,0,4
TRINITY_DN10335_c0_g1,2,13,6,6,1,3,8,4,13,2,6,3,6,9,5,3,6,9,1,0,1,6,4,8,19,6
TRINITY_DN10336_c0_g1,1,2,1,0,1,1,2,1,1,3,2,2,1,0,0,0,3,3,2,0,5,2,0,3,5,7
TRINITY_DN10337_c0_g1,1,5,2,3,2,1,1,9,0,2,1,0,2,4,5,2,5,2,4,0,3,1,1,1,2,5
TRINITY_DN10338_c0_g1,6,0,5,1,6,1,0,6,0,1,0,3,3,5,6,3,0,0,3,0,0,3,3,4,1,3
TRINITY_DN10339_c0_g1,25,6,11,10,3,2,4,12,2,3,1,12,10,22,4,4,6,2,13,4,7,10,1,1,3,2
TRINITY_DN1033_c0_g1,17,21,9,12,5,15,11,14,18,5,13,11,9,12,8,8,18,8,7,19,9,4,6,12,13,20
TRINITY_DN10340_c0_g1,1,5,1,1,3,4,1,4,8,3,3,5,3,14,8,1,7,2,3,2,2,2,2,6,11,4
TRINITY_DN10341_c0_g1,0,0,0,0,0,0,3,0,38,1,2,1,2,8,0,1,1,3,0,1,3,0,0,5,7,2
TRINITY_DN10342_c0_g1,2,2,0,3,0,0,2,3,8,2,5,2,2,0,2,1,9,1,2,3,0,0,0,6,14,6
TRINITY_DN10343_c0_g1,5,4,1,5,0,0,0,0,1,2,0,0,2,7,4,2,1,1,1,3,0,0,0,0,1,1
TRINITY_DN10344_c0_g1,0,5,0,22,6,1,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
TRINITY_DN10345_c0_g1,15,9,9,6,18,9,7,9,10,16,14,9,11,21,7,11,5,4,18,13,9,13,7,9,10,10
TRINITY_DN10346_c0_g1,5,11,2,3,2,2,1,6,3,1,1,2,3,3,1,1,4,5,5,4,6,2,0,1,1,1
TRINITY_DN10347_c0_g1,0,0,2,1,2,0,0,2,0,1,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1,0
TRINITY_DN10348_c0_g1,9,16,5,14,17,3,10,13,2,9,3,17,20,35,14,8,3,6,5,7,5,6,1,1,3,5
TRINITY_DN10350_c0_g1,0,0,0,5,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,1,3,0,0,0
TRINITY_DN10351_c0_g1,1,9,0,90,31,7,0,44,0,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0
TRINITY_DN10352_c0_g1,0,12,7,3,1,6,3,1,5,2,8,8,4,4,1,4,9,0,2,9,3,6,2,1,3,1
TRINITY_DN10353_c0_g1,16,17,13,11,13,13,14,23,16,10,9,10,16,16,5,19,17,9,9,16,24,16,14,20,23,16
TRINITY_DN10354_c0_g1,3,0,4,2,2,2,1,2,3,1,1,2,1,2,2,3,3,1,6,5,4,2,1,1,1,2
TRINITY_DN10355_c0_g1,8,1,5,4,6,1,4,6,3,2,3,8,2,8,2,5,4,0,3,2,2,1,11,1,8,3
TRINITY_DN10357_c0_g1,3,0,3,4,6,1,2,6,1,4,2,4,4,3,3,1,3,2,0,4,8,1,1,0,3,8
TRINITY_DN10358_c0_g1,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0
TRINITY_DN10359_c0_g1,0,2,2,3,2,0,0,2,0,4,0,1,3,2,3,2,0,0,3,0,1,0,3,1,0,1
TRINITY_DN1035_c0_g1,64,16,14,21,6,2,2,20,11,24,10,13,13,34,15,22,14,8,16,6,2,3,6,9,7,3
TRINITY_DN10360_c0_g1,7,0,0,0,11,4,7,12,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10361_c0_g1,1,2,1,0,0,2,1,0,4,1,3,2,0,0,0,2,2,0,0,1,0,2,0,2,0,3
TRINITY_DN10362_c0_g1,4,3,4,2,1,2,3,4,0,1,0,0,0,4,0,2,4,0,2,2,5,1,1,1,4,4
TRINITY_DN10363_c0_g1,0,3,2,0,5,2,4,0,0,0,0,2,1,1,0,0,2,2,0,0,1,0,0,1,2,0
TRINITY_DN10364_c0_g1,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,3,0,0,1,0
TRINITY_DN10365_c0_g1,10,5,7,4,7,5,4,2,1,9,1,6,4,1,6,6,6,6,4,4,4,2,5,5,4,3
TRINITY_DN10366_c0_g1,6,0,10,5,11,2,0,9,4,6,1,7,15,16,8,4,4,2,9,2,2,6,4,4,1,3
TRINITY_DN10367_c0_g1,2,0,2,2,1,0,0,0,0,0,1,2,0,4,3,2,7,1,3,1,2,0,1,2,2,1
TRINITY_DN10368_c0_g1,24,75,13,10,22,42,32,17,40,18,56,11,11,29,9,9,68,35,10,45,61,15,7,37,54,45
TRINITY_DN10369_c0_g1,19,24,9,9,12,14,8,16,7,9,7,8,10,9,11,14,10,12,12,10,12,4,5,9,10,14
TRINITY_DN1036_c0_g1,6,37,2,4,7,21,29,12,43,3,19,2,14,4,7,1,12,7,4,11,11,2,4,32,42,28
TRINITY_DN10370_c0_g1,2,62,1,0,0,46,45,0,25,0,10,1,0,1,0,0,19,18,0,13,11,0,1,39,23,17
TRINITY_DN10371_c0_g1,7,3,2,4,12,5,10,4,0,4,5,9,4,7,3,6,12,0,5,8,4,1,2,1,11,3
TRINITY_DN10372_c0_g1,3,3,4,7,2,1,2,0,4,0,1,6,4,3,3,2,2,1,3,2,2,1,0,2,1,1
TRINITY_DN10373_c0_g1,53,30,14,3,28,60,44,48,33,9,32,33,34,29,12,11,38,8,32,47,69,14,8,16,19,20
TRINITY_DN10374_c0_g1,0,1,0,2,1,1,0,0,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1
TRINITY_DN10375_c0_g1,14,5,8,7,12,1,0,7,6,3,2,3,15,12,4,6,4,0,7,2,10,1,4,3,2,3
TRINITY_DN10376_c0_g1,4,0,2,0,1,1,2,0,2,1,3,1,2,3,2,2,3,1,1,0,1,0,2,0,5,4
TRINITY_DN10377_c0_g1,1,1,1,0,3,3,2,1,7,0,1,1,1,1,0,2,2,0,0,4,6,1,3,1,1,0
TRINITY_DN10378_c0_g1,3,0,6,0,1,0,0,3,1,2,0,0,6,1,2,2,1,1,2,0,0,2,1,1,0,0
TRINITY_DN10379_c0_g1,28,1,3,3,19,1,5,10,1,11,3,18,4,2,6,11,4,3,2,2,1,3,2,0,3,0
TRINITY_DN10380_c0_g1,3,2,0,0,6,3,2,3,1,1,1,0,1,5,2,0,4,1,0,1,1,1,1,3,1,3
TRINITY_DN10381_c0_g1,0,3,3,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1
TRINITY_DN10382_c0_g1,0,2,0,1,1,0,0,1,0,0,0,1,0,1,1,0,3,1,1,0,3,0,0,1,1,0
TRINITY_DN10383_c0_g1,1,7,0,0,2,0,0,1,6,2,0,4,0,0,4,3,8,2,0,0,0,6,0,0,0,0
TRINITY_DN10384_c0_g1,2,0,0,1,0,19,19,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1
